open,high,low,close,date,volume
2304.28,2324.74,2281.94,2309.06,02-02-2024 00:00,238230.511
2309.07,2329.98,2292.75,2296.49,03-02-2024 00:00,133232.845
2296.5,2311.0,2266.0,2289.79,04-02-2024 00:00,171232.0444
2289.79,2338.41,2269.11,2301.83,05-02-2024 00:00,236610.412
2301.84,2392.4,2299.0,2372.64,06-02-2024 00:00,368942.7498
2372.63,2444.44,2354.0,2425.1,07-02-2024 00:00,342791.7013
2425.09,2463.15,2411.01,2419.55,08-02-2024 00:00,338040.0539
2419.56,2525.0,2419.16,2486.56,09-02-2024 00:00,492384.385
2486.56,2516.45,2471.57,2500.24,10-02-2024 00:00,185099.59
2500.24,2539.63,2493.45,2507.21,11-02-2024 00:00,219975.1471
2507.22,2665.58,2472.0,2659.99,12-02-2024 00:00,449501.776
2659.99,2686.12,2590.0,2639.99,13-02-2024 00:00,502447.745
2639.99,2786.0,2618.4,2774.81,14-02-2024 00:00,461670.6944
2774.8,2867.65,2759.25,2822.59,15-02-2024 00:00,481689.1874
2822.58,2857.4,2740.0,2801.8,16-02-2024 00:00,378070.8037
2801.81,2804.21,2719.01,2785.93,17-02-2024 00:00,243302.8759
2785.92,2895.0,2764.25,2881.2,18-02-2024 00:00,367987.8833
2881.2,2984.52,2856.93,2944.8,19-02-2024 00:00,446451.0401
2944.8,3033.09,2874.56,3014.81,20-02-2024 00:00,634681.7471
3014.81,3017.15,2868.0,2967.9,21-02-2024 00:00,595955.0033
2967.91,3036.02,2906.51,2971.4,22-02-2024 00:00,563525.9936
2971.4,2993.8,2906.05,2922.24,23-02-2024 00:00,428826.5787
2922.25,3007.48,2906.4,2992.62,24-02-2024 00:00,243854.0783
2992.62,3122.0,2983.61,3112.59,25-02-2024 00:00,412306.2237
3112.6,3196.0,3036.59,3175.94,26-02-2024 00:00,546722.7747
3175.95,3288.14,3160.02,3242.36,27-02-2024 00:00,625939.1221
3242.35,3488.0,3176.16,3383.1,28-02-2024 00:00,947538.766
3383.11,3522.81,3300.0,3340.09,29-02-2024 00:00,759698.1123
3340.1,3450.0,3338.54,3433.43,01-03-2024 00:00,412788.5773
